Timestamp,speed
14-Jun-2021 18:36:08.977,2.649
14-Jun-2021 18:36:09.977,2.491
14-Jun-2021 18:36:10.977,3.311
14-Jun-2021 18:36:11.977,3.311
14-Jun-2021 18:36:12.977,3.311
14-Jun-2021 18:36:13.977,4.309
14-Jun-2021 18:36:14.977,4.919
14-Jun-2021 18:36:15.977,5.293
14-Jun-2021 18:36:16.936,5.293
14-Jun-2021 18:36:17.936,5.539
14-Jun-2021 18:36:18.936,5.539
14-Jun-2021 18:36:19.936,4.658
14-Jun-2021 18:36:20.936,4.658
14-Jun-2021 18:36:21.936,4.466
14-Jun-2021 18:36:22.936,3.287
14-Jun-2021 18:36:23.936,1.363
14-Jun-2021 18:36:24.936,0.925
14-Jun-2021 18:36:25.936,3.311
14-Jun-2021 18:36:26.999,3.311
14-Jun-2021 18:36:27.999,4.052
14-Jun-2021 18:36:28.999,6.99
14-Jun-2021 18:36:29.999,8.671
14-Jun-2021 18:36:30.999,8.671
14-Jun-2021 18:36:31.999,9.258
14-Jun-2021 18:36:32.999,9.892
14-Jun-2021 18:36:33.999,10.719
14-Jun-2021 18:36:34.999,10.719
14-Jun-2021 18:36:35.999,10.725
14-Jun-2021 18:36:36.999,11.701
14-Jun-2021 18:36:37.999,11.891
14-Jun-2021 18:36:38.999,11.758
14-Jun-2021 18:36:39.999,11.758
14-Jun-2021 18:36:40.999,11.563
14-Jun-2021 18:36:41.999,11.87
14-Jun-2021 18:36:42.999,11.87
14-Jun-2021 18:36:43.999,12.098
14-Jun-2021 18:36:44.999,12.325
14-Jun-2021 18:36:45.999,13.089
14-Jun-2021 18:36:46.999,13.089
14-Jun-2021 18:36:47.999,13.503
14-Jun-2021 18:36:48.999,14.522
14-Jun-2021 18:36:49.999,14.522
14-Jun-2021 18:36:50.999,14.164
14-Jun-2021 18:36:51.999,14.147
14-Jun-2021 18:36:52.999,13.808
14-Jun-2021 18:36:53.999,13.94
14-Jun-2021 18:36:54.999,13.94
14-Jun-2021 18:36:55.999,13.94
14-Jun-2021 18:36:56.999,12.597
14-Jun-2021 18:36:57.999,12.597
14-Jun-2021 18:36:58.999,12.597
14-Jun-2021 18:36:59.999,12.71
14-Jun-2021 18:37:00.999,13.747
14-Jun-2021 18:37:01.999,13.782
14-Jun-2021 18:37:02.999,13.747
14-Jun-2021 18:37:03.999,13.436
14-Jun-2021 18:37:04.999,13.632
14-Jun-2021 18:37:05.999,14.018
14-Jun-2021 18:37:06.999,14.018
14-Jun-2021 18:37:07.999,14.041
14-Jun-2021 18:37:08.999,14.205
14-Jun-2021 18:37:09.999,14.205
14-Jun-2021 18:37:11.000,14.205
14-Jun-2021 18:37:12.000,14.233
14-Jun-2021 18:37:13.000,14.677
14-Jun-2021 18:37:14.000,14.9
14-Jun-2021 18:37:15.000,14.832
14-Jun-2021 18:37:16.000,14.9
14-Jun-2021 18:37:17.000,16.294
14-Jun-2021 18:37:18.000,16.358
14-Jun-2021 18:37:19.000,16.358
14-Jun-2021 18:37:20.000,16.358
14-Jun-2021 18:37:21.000,16.071
14-Jun-2021 18:37:22.000,16.071
14-Jun-2021 18:37:23.000,15.941
14-Jun-2021 18:37:24.000,15.941
14-Jun-2021 18:37:25.000,15.702
14-Jun-2021 18:37:26.000,15.702
14-Jun-2021 18:37:27.000,15.531
14-Jun-2021 18:37:28.000,15.453
14-Jun-2021 18:37:29.000,15.521
14-Jun-2021 18:37:30.000,15.521
14-Jun-2021 18:37:31.000,15.353
14-Jun-2021 18:37:32.000,14.985
14-Jun-2021 18:37:33.000,15.684
14-Jun-2021 18:37:34.000,15.984
14-Jun-2021 18:37:35.000,15.818
14-Jun-2021 18:37:36.000,15.984
14-Jun-2021 18:37:37.000,16.155
14-Jun-2021 18:37:38.000,16.155
14-Jun-2021 18:37:39.000,15.708
14-Jun-2021 18:37:40.000,15.257
14-Jun-2021 18:37:41.000,15.091
14-Jun-2021 18:37:42.000,15.769
